"","Adelges_cooleyi","Acyrthosiphon_pisum","Amphorophora_rubi","Aphis_fabae","Aphis_ruborum","Aphis_sambuci","Cavariella_pastinacae","Cavariella_theobaldi","Drepanosiphum_aceris","Drepanosiphum_platanoidis","Hyperomyzus_lactucae","Macrosiphoniella_artemisiae","Macrosiphum_albifrons","Macrosiphum_euphorbiae","Macrosiphum_funestum","Macrosiphum_gei","Macrosiphum_hellebori","Macrosiphum_rosae","Macrosiphum_sp.","Metopolophium_dirhodum","Periphyllus_lyropictus","Periphyllus_testudinaceus","Rhopalomyzus_lonicerae","Sitobion_avenae","Sitobion_fragariae","Tuberculatus_sp1","Uroleucon_ambrosiae","Uroleucon_escalantii","Uroleucon_sonchi","Uroleucon_sp5","Utamphorophora_humboldti","Wahlgreniella_nervata"
"Adelges_cooleyi",0,0.481132075471698,0.481132075471698,0.5,0.566037735849057,0.764150943396226,0.490566037735849,0.556603773584906,0.462264150943396,0.471698113207547,0.471698113207547,0.490566037735849,0.424528301886792,0.443396226415094,0.443396226415094,0.433962264150943,0.433962264150943,0.462264150943396,0.443396226415094,0.462264150943396,0.471698113207547,0.547169811320755,0.433962264150943,0.452830188679245,0.490566037735849,0.971698113207547,0.462264150943396,0.490566037735849,0.481132075471698,0.5,0.405660377358491,0.481132075471698
"Acyrthosiphon_pisum",0.481132075471698,0,0.273584905660377,0.367924528301887,0.424528301886792,0.688679245283019,0.405660377358491,0.39622641509434,0.5,0.405660377358491,0.235849056603774,0.311320754716981,0.235849056603774,0.235849056603774,0.273584905660377,0.245283018867925,0.207547169811321,0.311320754716981,0.235849056603774,0.235849056603774,0.424528301886792,0.518867924528302,0.311320754716981,0.245283018867925,0.273584905660377,0.905660377358491,0.254716981132075,0.245283018867925,0.30188679245283,0.283018867924528,0.283018867924528,0.245283018867925
"Amphorophora_rubi",0.481132075471698,0.273584905660377,0,0.349056603773585,0.367924528301887,0.660377358490566,0.349056603773585,0.377358490566038,0.509433962264151,0.433962264150943,0.207547169811321,0.254716981132075,0.226415094339623,0.235849056603774,0.254716981132075,0.254716981132075,0.216981132075472,0.283018867924528,0.245283018867925,0.226415094339623,0.471698113207547,0.594339622641509,0.264150943396226,0.245283018867925,0.320754716981132,0.89622641509434,0.226415094339623,0.207547169811321,0.235849056603774,0.235849056603774,0.216981132075472,0.207547169811321
"Aphis_fabae",0.5,0.367924528301887,0.349056603773585,0,0.30188679245283,0.60377358490566,0.377358490566038,0.377358490566038,0.481132075471698,0.424528301886792,0.330188679245283,0.358490566037736,0.377358490566038,0.386792452830189,0.377358490566038,0.405660377358491,0.349056603773585,0.39622641509434,0.39622641509434,0.377358490566038,0.452830188679245,0.528301886792453,0.330188679245283,0.377358490566038,0.405660377358491,0.867924528301887,0.330188679245283,0.358490566037736,0.386792452830189,0.339622641509434,0.320754716981132,0.367924528301887
"Aphis_ruborum",0.566037735849057,0.424528301886792,0.367924528301887,0.30188679245283,0,0.660377358490566,0.405660377358491,0.471698113207547,0.537735849056604,0.5,0.367924528301887,0.424528301886792,0.415094339622642,0.471698113207547,0.424528301886792,0.452830188679245,0.415094339622642,0.462264150943396,0.462264150943396,0.443396226415094,0.462264150943396,0.575471698113208,0.349056603773585,0.443396226415094,0.509433962264151,0.943396226415094,0.443396226415094,0.39622641509434,0.405660377358491,0.433962264150943,0.386792452830189,0.386792452830189
"Aphis_sambuci",0.764150943396226,0.688679245283019,0.660377358490566,0.60377358490566,0.660377358490566,0,0.707547169811321,0.783018867924528,0.792452830188679,0.745283018867924,0.660377358490566,0.660377358490566,0.688679245283019,0.69811320754717,0.69811320754717,0.69811320754717,0.660377358490566,0.716981132075472,0.688679245283019,0.669811320754717,0.707547169811321,0.811320754716981,0.622641509433962,0.679245283018868,0.69811320754717,0.613207547169811,0.660377358490566,0.69811320754717,0.650943396226415,0.669811320754717,0.650943396226415,0.641509433962264
"Cavariella_pastinacae",0.490566037735849,0.405660377358491,0.349056603773585,0.377358490566038,0.405660377358491,0.707547169811321,0,0.245283018867925,0.528301886792453,0.547169811320755,0.377358490566038,0.405660377358491,0.367924528301887,0.433962264150943,0.386792452830189,0.415094339622642,0.39622641509434,0.405660377358491,0.424528301886792,0.415094339622642,0.471698113207547,0.547169811320755,0.339622641509434,0.358490566037736,0.405660377358491,0.962264150943396,0.377358490566038,0.39622641509434,0.386792452830189,0.405660377358491,0.358490566037736,0.358490566037736
"Cavariella_theobaldi",0.556603773584906,0.39622641509434,0.377358490566038,0.377358490566038,0.471698113207547,0.783018867924528,0.245283018867925,0,0.509433962264151,0.452830188679245,0.452830188679245,0.405660377358491,0.462264150943396,0.490566037735849,0.443396226415094,0.452830188679245,0.415094339622642,0.443396226415094,0.462264150943396,0.39622641509434,0.490566037735849,0.556603773584906,0.415094339622642,0.39622641509434,0.424528301886792,0.924528301886792,0.39622641509434,0.405660377358491,0.452830188679245,0.415094339622642,0.39622641509434,0.405660377358491
"Drepanosiphum_aceris",0.462264150943396,0.5,0.509433962264151,0.481132075471698,0.537735849056604,0.792452830188679,0.528301886792453,0.509433962264151,0,0.254716981132075,0.528301886792453,0.5,0.481132075471698,0.528301886792453,0.528301886792453,0.528301886792453,0.5,0.566037735849057,0.518867924528302,0.443396226415094,0.509433962264151,0.547169811320755,0.490566037735849,0.518867924528302,0.537735849056604,0.943396226415094,0.452830188679245,0.528301886792453,0.518867924528302,0.5,0.462264150943396,0.537735849056604
"Drepanosiphum_platanoidis",0.471698113207547,0.405660377358491,0.433962264150943,0.424528301886792,0.5,0.745283018867924,0.547169811320755,0.452830188679245,0.254716981132075,0,0.490566037735849,0.481132075471698,0.405660377358491,0.424528301886792,0.433962264150943,0.443396226415094,0.386792452830189,0.471698113207547,0.433962264150943,0.39622641509434,0.481132075471698,0.556603773584906,0.443396226415094,0.443396226415094,0.462264150943396,0.924528301886792,0.433962264150943,0.443396226415094,0.490566037735849,0.452830188679245,0.405660377358491,0.433962264150943
"Hyperomyzus_lactucae",0.471698113207547,0.235849056603774,0.207547169811321,0.330188679245283,0.367924528301887,0.660377358490566,0.377358490566038,0.452830188679245,0.528301886792453,0.490566037735849,0,0.264150943396226,0.188679245283019,0.207547169811321,0.254716981132075,0.216981132075472,0.179245283018868,0.283018867924528,0.207547169811321,0.216981132075472,0.424528301886792,0.566037735849057,0.245283018867925,0.226415094339623,0.339622641509434,0.952830188679245,0.226415094339623,0.216981132075472,0.245283018867925,0.235849056603774,0.188679245283019,0.179245283018868
"Macrosiphoniella_artemisiae",0.490566037735849,0.311320754716981,0.254716981132075,0.358490566037736,0.424528301886792,0.660377358490566,0.405660377358491,0.405660377358491,0.5,0.481132075471698,0.264150943396226,0,0.30188679245283,0.292452830188679,0.273584905660377,0.30188679245283,0.273584905660377,0.311320754716981,0.292452830188679,0.273584905660377,0.452830188679245,0.613207547169811,0.273584905660377,0.320754716981132,0.367924528301887,0.905660377358491,0.273584905660377,0.235849056603774,0.273584905660377,0.311320754716981,0.283018867924528,0.254716981132075
"Macrosiphum_albifrons",0.424528301886792,0.235849056603774,0.226415094339623,0.377358490566038,0.415094339622642,0.688679245283019,0.367924528301887,0.462264150943396,0.481132075471698,0.405660377358491,0.188679245283019,0.30188679245283,0,0.0943396226415094,0.179245283018868,0.0849056603773585,0.0849056603773585,0.188679245283019,0.0754716981132075,0.207547169811321,0.386792452830189,0.575471698113208,0.235849056603774,0.216981132075472,0.320754716981132,0.924528301886792,0.245283018867925,0.254716981132075,0.273584905660377,0.311320754716981,0.235849056603774,0.235849056603774
"Macrosiphum_euphorbiae",0.443396226415094,0.235849056603774,0.235849056603774,0.386792452830189,0.471698113207547,0.69811320754717,0.433962264150943,0.490566037735849,0.528301886792453,0.424528301886792,0.207547169811321,0.292452830188679,0.0943396226415094,0,0.179245283018868,0.0471698113207547,0.0849056603773585,0.207547169811321,0.0377358490566038,0.245283018867925,0.39622641509434,0.584905660377358,0.264150943396226,0.254716981132075,0.358490566037736,0.943396226415094,0.283018867924528,0.292452830188679,0.292452830188679,0.330188679245283,0.264150943396226,0.254716981132075
"Macrosiphum_funestum",0.443396226415094,0.273584905660377,0.254716981132075,0.377358490566038,0.424528301886792,0.69811320754717,0.386792452830189,0.443396226415094,0.528301886792453,0.433962264150943,0.254716981132075,0.273584905660377,0.179245283018868,0.179245283018868,0,0.188679245283019,0.150943396226415,0.0471698113207547,0.179245283018868,0.273584905660377,0.443396226415094,0.556603773584906,0.311320754716981,0.30188679245283,0.330188679245283,0.962264150943396,0.283018867924528,0.235849056603774,0.273584905660377,0.349056603773585,0.254716981132075,0.254716981132075
"Macrosiphum_gei",0.433962264150943,0.245283018867925,0.254716981132075,0.405660377358491,0.452830188679245,0.69811320754717,0.415094339622642,0.452830188679245,0.528301886792453,0.443396226415094,0.216981132075472,0.30188679245283,0.0849056603773585,0.0471698113207547,0.188679245283019,0,0.0566037735849057,0.19811320754717,0.00943396226415094,0.216981132075472,0.386792452830189,0.575471698113208,0.245283018867925,0.245283018867925,0.330188679245283,0.924528301886792,0.273584905660377,0.283018867924528,0.264150943396226,0.339622641509434,0.264150943396226,0.264150943396226
"Macrosiphum_hellebori",0.433962264150943,0.207547169811321,0.216981132075472,0.349056603773585,0.415094339622642,0.660377358490566,0.39622641509434,0.415094339622642,0.5,0.386792452830189,0.179245283018868,0.273584905660377,0.0849056603773585,0.0849056603773585,0.150943396226415,0.0566037735849057,0,0.160377358490566,0.0471698113207547,0.179245283018868,0.386792452830189,0.537735849056604,0.245283018867925,0.226415094339623,0.311320754716981,0.943396226415094,0.235849056603774,0.245283018867925,0.245283018867925,0.283018867924528,0.207547169811321,0.226415094339623
"Macrosiphum_rosae",0.462264150943396,0.311320754716981,0.283018867924528,0.39622641509434,0.462264150943396,0.716981132075472,0.405660377358491,0.443396226415094,0.566037735849057,0.471698113207547,0.283018867924528,0.311320754716981,0.188679245283019,0.207547169811321,0.0471698113207547,0.19811320754717,0.160377358490566,0,0.188679245283019,0.283018867924528,0.462264150943396,0.547169811320755,0.339622641509434,0.330188679245283,0.358490566037736,0.971698113207547,0.320754716981132,0.273584905660377,0.292452830188679,0.386792452830189,0.283018867924528,0.273584905660377
"Macrosiphum_sp.",0.443396226415094,0.235849056603774,0.245283018867925,0.39622641509434,0.462264150943396,0.688679245283019,0.424528301886792,0.462264150943396,0.518867924528302,0.433962264150943,0.207547169811321,0.292452830188679,0.0754716981132075,0.0377358490566038,0.179245283018868,0.00943396226415094,0.0471698113207547,0.188679245283019,0,0.207547169811321,0.377358490566038,0.566037735849057,0.254716981132075,0.254716981132075,0.339622641509434,0.933962264150943,0.264150943396226,0.273584905660377,0.273584905660377,0.330188679245283,0.254716981132075,0.254716981132075
"Metopolophium_dirhodum",0.462264150943396,0.235849056603774,0.226415094339623,0.377358490566038,0.443396226415094,0.669811320754717,0.415094339622642,0.39622641509434,0.443396226415094,0.39622641509434,0.216981132075472,0.273584905660377,0.207547169811321,0.245283018867925,0.273584905660377,0.216981132075472,0.179245283018868,0.283018867924528,0.207547169811321,0,0.433962264150943,0.528301886792453,0.283018867924528,0.207547169811321,0.311320754716981,0.905660377358491,0.264150943396226,0.235849056603774,0.235849056603774,0.273584905660377,0.235849056603774,0.245283018867925
"Periphyllus_lyropictus",0.471698113207547,0.424528301886792,0.471698113207547,0.452830188679245,0.462264150943396,0.707547169811321,0.471698113207547,0.490566037735849,0.509433962264151,0.481132075471698,0.424528301886792,0.452830188679245,0.386792452830189,0.39622641509434,0.443396226415094,0.386792452830189,0.386792452830189,0.462264150943396,0.377358490566038,0.433962264150943,0,0.424528301886792,0.433962264150943,0.490566037735849,0.518867924528302,0.924528301886792,0.415094339622642,0.452830188679245,0.462264150943396,0.452830188679245,0.443396226415094,0.443396226415094
"Periphyllus_testudinaceus",0.547169811320755,0.518867924528302,0.594339622641509,0.528301886792453,0.575471698113208,0.811320754716981,0.547169811320755,0.556603773584906,0.547169811320755,0.556603773584906,0.566037735849057,0.613207547169811,0.575471698113208,0.584905660377358,0.556603773584906,0.575471698113208,0.537735849056604,0.547169811320755,0.566037735849057,0.528301886792453,0.424528301886792,0,0.613207547169811,0.537735849056604,0.518867924528302,1,0.547169811320755,0.622641509433962,0.575471698113208,0.584905660377358,0.584905660377358,0.566037735849057
"Rhopalomyzus_lonicerae",0.433962264150943,0.311320754716981,0.264150943396226,0.330188679245283,0.349056603773585,0.622641509433962,0.339622641509434,0.415094339622642,0.490566037735849,0.443396226415094,0.245283018867925,0.273584905660377,0.235849056603774,0.264150943396226,0.311320754716981,0.245283018867925,0.245283018867925,0.339622641509434,0.254716981132075,0.283018867924528,0.433962264150943,0.613207547169811,0,0.283018867924528,0.330188679245283,0.839622641509434,0.320754716981132,0.320754716981132,0.311320754716981,0.349056603773585,0.245283018867925,0.245283018867925
"Sitobion_avenae",0.452830188679245,0.245283018867925,0.245283018867925,0.377358490566038,0.443396226415094,0.679245283018868,0.358490566037736,0.39622641509434,0.518867924528302,0.443396226415094,0.226415094339623,0.320754716981132,0.216981132075472,0.254716981132075,0.30188679245283,0.245283018867925,0.226415094339623,0.330188679245283,0.254716981132075,0.207547169811321,0.490566037735849,0.537735849056604,0.283018867924528,0,0.216981132075472,0.915094339622642,0.254716981132075,0.264150943396226,0.264150943396226,0.235849056603774,0.273584905660377,0.226415094339623
"Sitobion_fragariae",0.490566037735849,0.273584905660377,0.320754716981132,0.405660377358491,0.509433962264151,0.69811320754717,0.405660377358491,0.424528301886792,0.537735849056604,0.462264150943396,0.339622641509434,0.367924528301887,0.320754716981132,0.358490566037736,0.330188679245283,0.330188679245283,0.311320754716981,0.358490566037736,0.339622641509434,0.311320754716981,0.518867924528302,0.518867924528302,0.330188679245283,0.216981132075472,0,0.924528301886792,0.311320754716981,0.339622641509434,0.377358490566038,0.377358490566038,0.339622641509434,0.292452830188679
"Tuberculatus_sp1",0.971698113207547,0.905660377358491,0.89622641509434,0.867924528301887,0.943396226415094,0.613207547169811,0.962264150943396,0.924528301886792,0.943396226415094,0.924528301886792,0.952830188679245,0.905660377358491,0.924528301886792,0.943396226415094,0.962264150943396,0.924528301886792,0.943396226415094,0.971698113207547,0.933962264150943,0.905660377358491,0.924528301886792,1,0.839622641509434,0.915094339622642,0.924528301886792,0,0.89622641509434,0.952830188679245,0.905660377358491,0.943396226415094,0.933962264150943,0.952830188679245
"Uroleucon_ambrosiae",0.462264150943396,0.254716981132075,0.226415094339623,0.330188679245283,0.443396226415094,0.660377358490566,0.377358490566038,0.39622641509434,0.452830188679245,0.433962264150943,0.226415094339623,0.273584905660377,0.245283018867925,0.283018867924528,0.283018867924528,0.273584905660377,0.235849056603774,0.320754716981132,0.264150943396226,0.264150943396226,0.415094339622642,0.547169811320755,0.320754716981132,0.254716981132075,0.311320754716981,0.89622641509434,0,0.169811320754717,0.150943396226415,0.19811320754717,0.245283018867925,0.207547169811321
"Uroleucon_escalantii",0.490566037735849,0.245283018867925,0.207547169811321,0.358490566037736,0.39622641509434,0.69811320754717,0.39622641509434,0.405660377358491,0.528301886792453,0.443396226415094,0.216981132075472,0.235849056603774,0.254716981132075,0.292452830188679,0.235849056603774,0.283018867924528,0.245283018867925,0.273584905660377,0.273584905660377,0.235849056603774,0.452830188679245,0.622641509433962,0.320754716981132,0.264150943396226,0.339622641509434,0.952830188679245,0.169811320754717,0,0.188679245283019,0.226415094339623,0.245283018867925,0.188679245283019
"Uroleucon_sonchi",0.481132075471698,0.30188679245283,0.235849056603774,0.386792452830189,0.405660377358491,0.650943396226415,0.386792452830189,0.452830188679245,0.518867924528302,0.490566037735849,0.245283018867925,0.273584905660377,0.273584905660377,0.292452830188679,0.273584905660377,0.264150943396226,0.245283018867925,0.292452830188679,0.273584905660377,0.235849056603774,0.462264150943396,0.575471698113208,0.311320754716981,0.264150943396226,0.377358490566038,0.905660377358491,0.150943396226415,0.188679245283019,0,0.216981132075472,0.273584905660377,0.245283018867925
"Uroleucon_sp5",0.5,0.283018867924528,0.235849056603774,0.339622641509434,0.433962264150943,0.669811320754717,0.405660377358491,0.415094339622642,0.5,0.452830188679245,0.235849056603774,0.311320754716981,0.311320754716981,0.330188679245283,0.349056603773585,0.339622641509434,0.283018867924528,0.386792452830189,0.330188679245283,0.273584905660377,0.452830188679245,0.584905660377358,0.349056603773585,0.235849056603774,0.377358490566038,0.943396226415094,0.19811320754717,0.226415094339623,0.216981132075472,0,0.292452830188679,0.245283018867925
"Utamphorophora_humboldti",0.405660377358491,0.283018867924528,0.216981132075472,0.320754716981132,0.386792452830189,0.650943396226415,0.358490566037736,0.39622641509434,0.462264150943396,0.405660377358491,0.188679245283019,0.283018867924528,0.235849056603774,0.264150943396226,0.254716981132075,0.264150943396226,0.207547169811321,0.283018867924528,0.254716981132075,0.235849056603774,0.443396226415094,0.584905660377358,0.245283018867925,0.273584905660377,0.339622641509434,0.933962264150943,0.245283018867925,0.245283018867925,0.273584905660377,0.292452830188679,0,0.245283018867925
"Wahlgreniella_nervata",0.481132075471698,0.245283018867925,0.207547169811321,0.367924528301887,0.386792452830189,0.641509433962264,0.358490566037736,0.405660377358491,0.537735849056604,0.433962264150943,0.179245283018868,0.254716981132075,0.235849056603774,0.254716981132075,0.254716981132075,0.264150943396226,0.226415094339623,0.273584905660377,0.254716981132075,0.245283018867925,0.443396226415094,0.566037735849057,0.245283018867925,0.226415094339623,0.292452830188679,0.952830188679245,0.207547169811321,0.188679245283019,0.245283018867925,0.245283018867925,0.245283018867925,0
